,Calories,Carbs,Category,Cholesterol,Fat,Fiber,Protein,Restaurant,Saturated Fat,Sodium,Sugars,Trans Fat,calories,carbs,category,deets_url,fat_content,name
0,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,0,0,"
Drinks
",http://chubbygrub.com/food/a-and-w-diet-root-beer/,0,A&W® Diet Root Beer
1,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,0,0,"
Drinks
",http://chubbygrub.com/food/a-and-w-diet-root-beer-2/,0,A&W® Diet Root Beer
2,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,0,0,"
Drinks
",http://chubbygrub.com/food/a-and-w-diet-root-beer-3/,0,A&W® Diet Root Beer
3,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,0,0,"
Drinks
",http://chubbygrub.com/food/a-and-w-diet-root-beer-4/,0,A&W® Diet Root Beer
4,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,0,0,"
Drinks
",http://chubbygrub.com/food/a-and-w-diet-root-beer-5/,0,A&W® Diet Root Beer
5,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,0,0,"
Drinks
",http://chubbygrub.com/food/a-and-w-diet-root-beer-6/,0,A&W® Diet Root Beer
6,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,350,60,"
Shakes
",http://chubbygrub.com/food/a-and-w-diet-root-beer-float-large/,10,A&W® Diet Root Beer Float (large)
7,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,170,30,"
Shakes
",http://chubbygrub.com/food/a-and-w-diet-root-beer-float-medium/,5,A&W® Diet Root Beer Float (medium)
8,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,170,30,"
Shakes
",http://chubbygrub.com/food/a-and-w-diet-root-beer-float-small/,5,A&W® Diet Root Beer Float (small)
9,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,600,92,"
Shakes
",http://chubbygrub.com/food/a-and-w-diet-root-beer-freeze-large/,18,A&W® Diet Root Beer Freeze (large)
10,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,340,53,"
Shakes
",http://chubbygrub.com/food/a-and-w-diet-root-beer-freeze-medium/,10,A&W® Diet Root Beer Freeze (medium)
11,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,260,39,"
Shakes
",http://chubbygrub.com/food/a-and-w-diet-root-beer-freeze-small/,8,A&W® Diet Root Beer Freeze (small)
12,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,160,43,"
Drinks
",http://chubbygrub.com/food/a-and-w-root-beer/,0,A&W® Root Beer
13,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,220,58,"
Drinks
",http://chubbygrub.com/food/a-and-w-root-beer-2/,0,A&W® Root Beer
14,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,270,72,"
Drinks
",http://chubbygrub.com/food/a-and-w-root-beer-3/,0,A&W® Root Beer
15,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,440,116,"
Drinks
",http://chubbygrub.com/food/a-and-w-root-beer-4/,0,A&W® Root Beer
16,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,880,232,"
Drinks
",http://chubbygrub.com/food/a-and-w-root-beer-5/,0,A&W® Root Beer
17,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1760,464,"
Drinks
",http://chubbygrub.com/food/a-and-w-root-beer-6/,0,A&W® Root Beer
18,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,640,136,"
Shakes
",http://chubbygrub.com/food/a-and-w-root-beer-float-large/,10,A&W® Root Beer Float (large)
19,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,350,77,"
Shakes
",http://chubbygrub.com/food/a-and-w-root-beer-float-medium/,5,A&W® Root Beer Float (medium)
20,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,330,70,"
Shakes
",http://chubbygrub.com/food/a-and-w-root-beer-float-small/,5,A&W® Root Beer Float (small)
21,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,820,150,"
Shakes
",http://chubbygrub.com/food/a-and-w-root-beer-freeze-large/,18,A&W® Root Beer Freeze (large)
22,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,480,89,"
Shakes
",http://chubbygrub.com/food/a-and-w-root-beer-freeze-medium/,10,A&W® Root Beer Freeze (medium)
23,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,370,68,"
Shakes
",http://chubbygrub.com/food/a-and-w-root-beer-freeze-small/,8,A&W® Root Beer Freeze (small)
24,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,270,67,"
Drinks
",http://chubbygrub.com/food/blue-raspberry-slushee/,0,Blue Raspberry Slushee
25,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,370,91,"
Drinks
",http://chubbygrub.com/food/blue-raspberry-slushee-2/,0,Blue Raspberry Slushee
26,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,570,142,"
Drinks
",http://chubbygrub.com/food/blue-raspberry-slushee-3/,0,Blue Raspberry Slushee
27,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,740,182,"
Drinks
",http://chubbygrub.com/food/blue-raspberry-slushee-4/,0,Blue Raspberry Slushee
28,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,480,62,"
Sides
",http://chubbygrub.com/food/breaded-onion-rings-large/,27,Breaded Onion Rings (Large)
29,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,350,45,"
Sides
",http://chubbygrub.com/food/breaded-onion-rings-regular/,16,Breaded Onion Rings (Regular)
30,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,340,57,"
Desserts
",http://chubbygrub.com/food/caramel-sundae-2/,9,Caramel Sundae
31,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1140,54,"
Sides
",http://chubbygrub.com/food/cheese-curds-large/,80,Cheese Curds (Large)
32,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,570,27,"
Sides
",http://chubbygrub.com/food/cheese-curds-regular/,40,Cheese Curds (Regular)
33,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,350,26,"
Entrees
",http://chubbygrub.com/food/cheese-dog-2/,22,Cheese Dog
34,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,390,50,"
French Fries
",http://chubbygrub.com/food/cheese-fries/,18,Cheese Fries
35,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,420,37,"
Burgers
",http://chubbygrub.com/food/cheeseburger-5/,21,Cheeseburger
36,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,190,51,"
Drinks
",http://chubbygrub.com/food/cherry-limeade/,0,Cherry Limeade
37,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,300,79,"
Drinks
",http://chubbygrub.com/food/cherry-limeade-2/,0,Cherry Limeade
38,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,340,90,"
Drinks
",http://chubbygrub.com/food/cherry-limeade-3/,0,Cherry Limeade
39,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,530,138,"
Drinks
",http://chubbygrub.com/food/cherry-limeade-4/,0,Cherry Limeade
40,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,330,83,"
Drinks
",http://chubbygrub.com/food/cherry-slushee/,0,Cherry Slushee
41,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,450,112,"
Drinks
",http://chubbygrub.com/food/cherry-slushee-2/,0,Cherry Slushee
