,scraped,series,url
0,False,Super_Mario,https://www.ssbwiki.com/List_of_spirits_(Super_Mario_series)
1,False,Donkey_Kong,https://www.ssbwiki.com/List_of_spirits_(Donkey_Kong_series)
2,False,The_Legend_of_Zelda,https://www.ssbwiki.com/List_of_spirits_(The_Legend_of_Zelda_series)
3,False,Metroid,https://www.ssbwiki.com/List_of_spirits_(Metroid_series)
4,False,Yosh,https://www.ssbwiki.com/List_of_spirits_(Yoshi_series)
5,False,Kirby,https://www.ssbwiki.com/List_of_spirits_(Kirby_series)
6,False,Star_Fox,https://www.ssbwiki.com/List_of_spirits_(Star_Fox_series)
7,False,Pok%C3%A9mon,https://www.ssbwiki.com/List_of_spirits_(Pok%C3%A9mon_series)
8,False,EarthBound,https://www.ssbwiki.com/List_of_spirits_(EarthBound_series)
9,False,F-Zero,https://www.ssbwiki.com/List_of_spirits_(F-Zero_series)
10,False,Ice_Climb,https://www.ssbwiki.com/List_of_spirits_(Ice_Climber_series)
11,False,Fire_Emblem,https://www.ssbwiki.com/List_of_spirits_(Fire_Emblem_series)
12,False,Game_%26_Watch,https://www.ssbwiki.com/List_of_spirits_(Game_%26_Watch_series)
13,False,Kid_Icaru,https://www.ssbwiki.com/List_of_spirits_(Kid_Icarus_series)
14,False,Wario,https://www.ssbwiki.com/List_of_spirits_(Wario_series)
15,False,Metal_Gea,https://www.ssbwiki.com/List_of_spirits_(Metal_Gear_series)
16,False,Sonic_the_Hedgehog,https://www.ssbwiki.com/List_of_spirits_(Sonic_the_Hedgehog_series)
17,False,Pikmin,https://www.ssbwiki.com/List_of_spirits_(Pikmin_series)
18,False,R.O.B.,https://www.ssbwiki.com/List_of_spirits_(R.O.B._series)
19,False,Animal_Crossing,https://www.ssbwiki.com/List_of_spirits_(Animal_Crossing_series)
20,False,Mega_Man,https://www.ssbwiki.com/List_of_spirits_(Mega_Man_series)
21,False,Wii_Fit,https://www.ssbwiki.com/List_of_spirits_(Wii_Fit_series)
22,False,Punch-Out!!,https://www.ssbwiki.com/List_of_spirits_(Punch-Out!!_series)
23,False,Pac-Man,https://www.ssbwiki.com/List_of_spirits_(Pac-Man_series)
24,False,Xenoblad,https://www.ssbwiki.com/List_of_spirits_(Xenoblade_series)
25,False,Duck_Hunt,https://www.ssbwiki.com/List_of_spirits_(Duck_Hunt_series)
26,False,Street_Fight,https://www.ssbwiki.com/List_of_spirits_(Street_Fighter_series)
27,False,Final_Fantasy,https://www.ssbwiki.com/List_of_spirits_(Final_Fantasy_series)
28,False,Bayonetta,https://www.ssbwiki.com/List_of_spirits_(Bayonetta_series)
29,False,Splatoon,https://www.ssbwiki.com/List_of_spirits_(Splatoon_series)
30,False,Castlevania,https://www.ssbwiki.com/List_of_spirits_(Castlevania_series)
31,False,M,https://www.ssbwiki.com/List_of_spirits_(Mii_series)
32,False,Super_Smash_Bros.,https://www.ssbwiki.com/List_of_spirits_(Super_Smash_Bros._series)
33,False,Oth,https://www.ssbwiki.com/List_of_spirits_(Others)
