title,prices,star_rating,Best_seller,author,co_author,formats,list_form,more_buying_choices,Num_of_offers,num_ratings
Clean Keto Lifestyle: The Complete Guide to Transforming Your Life and Health,"['$18.01$18.01', '$18.01$18.01', '$25.99$25.99', '$25.99$25.99']",4.6,in Cancer Cookbooks,Karissa Long,,"['Paperback', 'Kindle']","['Best Seller', 'in Cancer Cookbooks', 'Clean Keto Lifestyle: The Complete Guide to Transforming Your Life and Health', 'by', 'Karissa Long', '4.6 out of 5 stars', '34', 'Paperback', '$18.01$18.01', '$25.99$25.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$16.82', '(25 used & new offers)', 'Other format:', 'Kindle']",$16.82,25,34
The Diabetic Cookbook for Electric Pressure Cookers: Instant Healthy Meals for Managing Diabetes,"['$6.99$6.99', '$6.99$6.99']",4.2,False,Shelby Kinnaird,Simone Harounian MS RD CDN CDE,"['Kindle', 'Paperback']","['The Diabetic Cookbook for Electric Pressure Cookers: Instant Healthy Meals for Managing Diabetes', 'by', 'Shelby Kinnaird', 'and', 'Simone Harounian MS RD CDN CDE', '4.2 out of 5 stars', '17', 'Kindle', '$6.99$6.99', 'Other format:', 'Paperback']",,,17
"The Skinnytaste Cookbook: Light on Calories, Big on Flavor","['$22.13$22.13', '$22.13$22.13', '$30.00$30.00', '$30.00$30.00']",4.7,False,Gina Homolka,,"['Hardcover', 'Kindle', 'Paperback']","['The Skinnytaste Cookbook: Light on Calories, Big on Flavor', 'by', 'Gina Homolka', '4.7 out of 5 stars', '2,355', 'Hardcover', '$22.13$22.13', '$30.00$30.00', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$10.87', '(154 used & new offers)', 'Other formats:', 'Kindle', ',', 'Paperback']",$10.87,154,"2,355"
The Healthy Sheet Pan Cookbook: Satisfying One-Pan Meals for Busy Cooks,"['$10.49$10.49', '$10.49$10.49', '$13.99$13.99', '$13.99$13.99']",4.0,False,Ruthy Kirwan,,"['Paperback', 'Kindle']","['The Healthy Sheet Pan Cookbook: Satisfying One-Pan Meals for Busy Cooks', 'by', 'Ruthy Kirwan', '4.0 out of 5 stars', '34', 'Paperback', '$10.49$10.49', '$13.99$13.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$5.44', '(17 used & new offers)', 'Other format:', 'Kindle']",$5.44,17,34
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,"['$0.00$0.00', '$0.00$0.00', 'Or $2.99 to buy']",4.1,in Low Carb Cooking,Amy Ramos,,"['Kindle', 'Paperback', 'Spiral-bound']","['Best Seller', 'in Low Carb Cooking', 'The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle', 'by', 'Amy Ramos', ', Rockridge Press, et al.', '4.1 out of 5 stars', '1,836', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $2.99 to buy', 'Other formats:', 'Paperback', ',', 'Spiral-bound']",,,"1,836"
"Mediterranean Diet for Beginners: The Complete Guide - 40 Delicious Recipes, 7-Day Diet Meal Plan, and 10 Tips for Success","['$8.49$8.49', '$8.49$8.49', '$9.99$9.99', '$9.99$9.99']",3.9,False,Rockridge Press,,"['Paperback', 'Kindle', 'Spiral-bound']","['Mediterranean Diet for Beginners: The Complete Guide - 40 Delicious Recipes, 7-Day Diet Meal Plan, and 10 Tips for Success', 'by', 'Rockridge Press', '3.9 out of 5 stars', '785', 'Paperback', '$8.49$8.49', '$9.99$9.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$4.98', '(88 used & new offers)', 'Other formats:', 'Kindle', ',', 'Audible Audiobook', ',', 'Spiral-bound']",$4.98,88,785
Juicing for Beginners: The Essential Guide to Juicing Recipes and Juicing for Weight Loss,"['$9.72$9.72', '$9.72$9.72', '$11.99$11.99', '$11.99$11.99']",4.2,in Fruit Cooking,Rockridge Press,,"['Paperback', 'Kindle', 'Hardcover', 'Spiral-bound']","['Best Seller', 'in Fruit Cooking', 'Juicing for Beginners: The Essential Guide to Juicing Recipes and Juicing for Weight Loss', 'by', 'Rockridge Press', '4.2 out of 5 stars', '385', 'Paperback', '$9.72$9.72', '$11.99$11.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$4.70', '(82 used & new offers)', 'Other formats:', 'Kindle', ',', 'Audible Audiobook', ',', 'Hardcover', ',', 'Spiral-bound']",$4.70,82,385
The Anti Inflammatory Diet Cookbook: No Hassle 30-Minute Recipes to Reduce Inflammation,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.2,False,Madeline Given NC,,"['Kindle', 'Paperback']","['The Anti Inflammatory Diet Cookbook: No Hassle 30-Minute Recipes to Reduce Inflammation', 'by', 'Madeline Given NC', 'and Jennifer Lang MD', '4.2 out of 5 stars', '156', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,156
Paleo Cookbook: 300 Delicious Paleo Diet Recipes,"['$7.83$7.83', '$7.83$7.83', '$14.99$14.99', '$14.99$14.99', '$3.99 shipping']",4.2,False,Rockridge Press,,"['Paperback', 'Kindle', 'Hardcover']","['Paleo Cookbook: 300 Delicious Paleo Diet Recipes', 'by', 'Rockridge Press', '4.2 out of 5 stars', '463', 'Paperback', '$7.83$7.83', '$14.99$14.99', '$3.99 shipping', 'Only 1 left in stock - order soon.', 'More Buying Choices$1.54', '(128 used & new offers)', 'Other formats:', 'Kindle', ',', 'Hardcover']",$1.54,128,463
"Healthy Cookbook for Two: 175 Simple, Delicious Recipes to Enjoy Cooking for Two","['$6.99$6.99', '$6.99$6.99']",4.3,False,Rockridge Press,,"['Kindle', 'Paperback']","['Healthy Cookbook for Two: 175 Simple, Delicious Recipes to Enjoy Cooking for Two', 'by', 'Rockridge Press', '4.3 out of 5 stars', '286', 'Kindle', '$6.99$6.99', 'Other format:', 'Paperback']",,,286
Indian Instant Pot® Cookbook: Traditional Indian Dishes Made Easy and Fast,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.6,False,Urvashi Pitre,,"['Kindle', 'Paperback']","['Indian Instant Pot® Cookbook: Traditional Indian Dishes Made Easy and Fast', 'by', 'Urvashi Pitre', '4.6 out of 5 stars', '782', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,782
"The 5-Ingredient Dutch Oven Cookbook: One Pot, 101 Easy Recipes","['$0.99$0.99', '$0.99$0.99']",4.3,in Quick & Easy Cooking,Lisa Grant,,"['Kindle', 'Paperback']","['Best Seller', 'in Quick & Easy Cooking', 'The 5-Ingredient Dutch Oven Cookbook: One Pot, 101 Easy Recipes', 'by', 'Lisa Grant', '4.3 out of 5 stars', '10', 'Kindle', '$0.99$0.99', 'Other format:', 'Paperback']",,,10
Vegan Cookbook for Beginners: The Essential Vegan Cookbook to Get Started,"['$11.99$11.99', '$11.99$11.99']",4.3,False,Rockridge Press,,"['Paperback', 'Kindle']","['Vegan Cookbook for Beginners: The Essential Vegan Cookbook to Get Started', 'by', 'Rockridge Press', '4.3 out of 5 stars', '352', 'Paperback', '$11.99$11.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$2.48', '(77 used & new offers)', 'Other format:', 'Kindle']",$2.48,77,352
The Essential Air Fryer Cookbook for Two: Perfectly Portioned Recipes for Healthier Fried Favorites,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.5,in Wok Cookery,Gina Kleinworth,,"['Kindle', 'Paperback']","['Best Seller', 'in Wok Cookery', 'The Essential Air Fryer Cookbook for Two: Perfectly Portioned Recipes for Healthier Fried Favorites', 'by', 'Gina Kleinworth', '4.5 out of 5 stars', '31', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,31
The Ultimate Instant Pot® Cookbook for Two: Perfectly Portioned Recipes for 3-Quart and 6-Quart Models,"['$13.59$13.59', '$13.59$13.59', '$16.99$16.99', '$16.99$16.99']",4.1,False,Janet A. Zimmerman,,"['Paperback', 'Kindle']","['The Ultimate Instant Pot® Cookbook for Two: Perfectly Portioned Recipes for 3-Quart and 6-Quart Models', 'by', 'Janet A. Zimmerman', '4.1 out of 5 stars', '29', 'Paperback', '$13.59$13.59', '$16.99$16.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$9.32', '(17 used & new offers)', 'Other format:', 'Kindle']",$9.32,17,29
